name;food_tags;mood_tags;address;neighborhood;latitude;longitude;rating;reviews_count;price_level;phone;website;hours;permanently_closed;temporarily_closed;maps url;status
cleo;New Nordic;Restaurant;Rantzausgade 58B, 2200 København;Nørrebro;55.6878264;12.5464077;4.4;163;;38 42 42 49;https://restaurantcleo.dk/?utm_source=Google%20business&utm_medium=&utm_campaign=;Closed · Opens 5.30 pm Tue;No;No;https://www.google.com/maps/place/cleo/data=!4m2!3m1!1s0x4652537f0dbd37ef:0xdddb9dd6c67367bd;success
Coffee Collective;Coffee;Cafe;Godthåbsvej 34B, 2000 Frederiksberg;;55.6870661;12.5334523;4.6;797;;60 15 15 25;https://coffeecollective.dk/;Closed · Opens 7.00 am Mon;No;No;https://www.google.com/maps/place/Coffee+Collective+Godth%C3%A5bsvej/data=!4m2!3m1!1s0x465253ad94236fed:0x2958fa62b6290d9a;success
Collective Bakery;Fastelavnsbolle;Bakery;Nørrebrogade 176, 2200 København;Nørrebro;55.6967659;12.5455458;4.3;142;;31 36 75 33;https://www.collectivebakery.dk/;Closed · Opens 7.00 am Mon;No;No;https://www.google.com/maps/place/Collective+Bakery/data=!4m2!3m1!1s0x4652537daeda7453:0x4b4a8ef15339e121;success
Conditori La Glace;Pastry;Restaurant;Skoubogade 3, 1158 København K;Indre By;55.6785921;12.5735765;4.4;2,725;;33 14 46 46;https://laglace.dk/da/;Closed · Opens 8.30 am Mon;No;No;https://www.google.com/maps/place/Conditori+La+Glace/data=!4m2!3m1!1s0x46525311adf13159:0x71dd10b224c56a51;success
Copenhagen Contemporary;For Thought;Museum;Refshalevej 173A, 1432 København;Refshaleøen;55.6931182;12.6134181;4.4;1,961;;;http://copenhagencontemporary.org/;Closed · Opens 11.00 am Tue;No;No;https://www.google.com/maps/place/Copenhagen+Contemporary/data=!4m2!3m1!1s0x4652533b4ae238fd:0x55309cfc552be410;success
HANS Coffee;Coffee;Cafe;Boldhusgade 6, 1062 København K;Indre By;55.6774217;12.5818373;4.6;1,112;;30 86 49 22;https://www.instagram.com/hanscoffeecph;Closed · Opens 7.30 am Mon;No;No;https://www.google.com/maps/place/CUB+Coffee+Bar+Boldhusgade/data=!4m2!3m1!1s0x46525316fa3faa25:0xc19c249d461adf1a;success
DAC Café;New Nordic;"Restaurant; Al Fresco";Bryghuspladsen 10, 1473 København;Indre By;55.6720619;12.5791566;3.7;99;;29 65 53 96;https://dac.dk/en/cafe/;Closed · Opens 10.00 am Mon;No;No;https://www.google.com/maps/place/DAC+Caf%C3%A9/data=!4m2!3m1!1s0x46525388e532c0cd:0x9e580fe4605d3603;success
Dahl & Dahl;Wine;Bar;Dronningens Tværgade 6, 1302 Indre By;Indre By;55.6834313;12.5881155;4.0;277;;82 30 40 44;https://www.dahl-dahl.dk/?utm_source=GMB&utm_medium=organisk;Closed · Opens 5.00 pm Thu;No;No;https://www.google.com/maps/place/Dahl+%26+Dahl/data=!4m2!3m1!1s0x465253188ed6c64d:0xfe34673303f2ed12;success
Damhuskanten;Ice Cream;Al Fresco;Damhusdæmningen 2B, 2720 Vanløse;Vanløse;55.681431;12.473337;4.1;759;;20 44 29 92;http://damhuskanten.dk/;Closed · Opens 11.00 am Sat;No;No;https://www.google.com/maps/place/Damhuskanten/data=!4m2!3m1!1s0x465251678c4dd39d:0x1e2d14487fa3fd4b;success
Daniali & Schiøtz;Pastry;Cafe;Falkoner Alle 36, 2000 Frederiksberg;;55.6819882;12.5350209;4.5;263;;50 58 98 29;https://instagram.com/danialischioetz?igshid=MzRlODBiNWFlZA==;Closed · Opens 7.00 am Mon;No;No;https://www.google.com/maps/place/Daniali+%26+Schi%C3%B8tz+Bageri/data=!4m2!3m1!1s0x465253bb0c39fbc9:0xd8893949ef4fd779;success
Darcy’s Kaffe;Coffee;Cafe;Rantzausgade 2, 2200 København N;Nørrebro;55.6853205;12.5532862;4.6;656;;;http://www.darcyskaffe.dk/;Closed · Opens 7.30 am Mon;No;No;https://www.google.com/maps/place/Darcy%E2%80%99s+Kaffe/data=!4m2!3m1!1s0x465253a14fb73023:0xd41a80b6eb1d16c7;success
Det Franske Konditori;Fastelavnsbolle;Bakery;H. C. Ørsteds Vej 44, 1879 Frederiksberg C;Frederiksberg;55.6810722;12.5492381;4.5;94;;35 35 15 46;http://detfranskeconditori.dk/;Closed · Opens 6.00 am Mon;No;No;https://www.google.com/maps/place/Det+Franske+Konditori/data=!4m2!3m1!1s0x465253a6f108ad7d:0xa951017679515b2f;success
Det Vide Hus;Coffee;Cafe;Gothersgade 113, 1123 København;Indre By;55.6841942;12.574646;4.6;515;;;https://www.facebook.com/detvidehus/;Temporarily closed;No;Yes;https://www.google.com/maps/place/Det+Vide+Hus/data=!4m2!3m1!1s0x4652531adea3191b:0x2f43ebc7bc1a76e7;success
Dilemma Vinbar;Wine;Bar;Falkoner Alle 79, tv, 2000 Frederiksberg;;55.6871768;12.5404169;4.9;31;;31 36 83 39;;Closed · Opens 4.00 pm Mon;No;No;https://www.google.com/maps/place/Dilemma+Vinbar/data=!4m2!3m1!1s0x4652537a51328677:0x8bf70cff6aaf339f;success
DILLON;Fastelavnsbolle;Cafe;Tåsingegade 51, 2100 København;Østerbro;55.7102606;12.5663434;4.7;89;;;https://www.instagram.com/dillon.cph/;Closed · Opens 8.00 am Wed;No;No;https://www.google.com/maps/place/DILLON/data=!4m2!3m1!1s0x46525306067ca7f5:0x47aaf7dcb857086f;success
District Tonkin;Asian;Restaurant;Store Kongensgade 71, 1264 København K;Indre By;55.6850226;12.5881749;4.3;1,207;;60 88 86 98;https://district-tonkin.com/;Closes soon · 9.30 pm · Opens 11.00 am Mon;No;No;https://www.google.com/maps/place/District+Tonkin/data=!4m2!3m1!1s0x465253188cc24577:0xb19ab2ee771817;success
Dronning Louises Tehus;"Tea; Afternoon Tea";Al Fresco;Ved Slotshaven 12 (det stråtækte hus for enden af stien, Ved Slotshaven 12, 2820 Gentofte;Gentofte;55.7557852;12.5485518;4.4;252;;31 32 39 60;https://www.dronninglouisestehus.dk/;Closed · Opens 11.00 am Thu;No;No;https://www.google.com/maps/place/Dronning+Louises+Tehus/data=!4m2!3m1!1s0x46524dec40000001:0x904f36ab1bc67831;success
Empire Cinema;For Thought;Cinema;Guldbergsgade 29F, 2200 København;Nørrebro;55.6918605;12.5558206;4.4;2,091;;35 36 00 36;http://www.empirebio.dk/;;No;No;https://www.google.com/maps/place/Empire+Cinema/data=!4m2!3m1!1s0x465253aafc260e13:0x551d83ab11eff35b;success
