Title,Note,URL,Tags,Comment
,,,,
Cava Café - Brunch,,https://www.google.com/maps/place/Cava+Caf%C3%A9+-+Brunch/data=!4m2!3m1!1s0x465253d40a08ff89:0x8e55c37ce9bc44fb,,
Hotel Alt Nürnberg,,https://www.google.com/maps/place/Hotel+Alt+N%C3%BCrnberg/data=!4m2!3m1!1s0x47b18ee6c4967e71:0xc408324e92fc05dc,,
Apotek 57,,https://www.google.com/maps/place/Apotek+57/data=!4m2!3m1!1s0x465253935f555031:0x84a8f1afe517838f,,
Godt,,https://www.google.com/maps/place/Godt/data=!4m2!3m1!1s0x465253e1c2d58d83:0x35b434bd662a7238,,
Fru Jensens Fristelser (Lady Jensen's Temptations),,https://www.google.com/maps/place/Fru+Jensens+Fristelser+(Lady+Jensen's+Temptations)/data=!4m2!3m1!1s0x465253ced8efea81:0x9848af25588b68c3,,
Restaurant Aure,,https://www.google.com/maps/place/Restaurant+Aure/data=!4m2!3m1!1s0x465253c2d204ff57:0xa9773919c45f5246,,
Hart,,https://www.google.com/maps/place/Hart/data=!4m2!3m1!1s0x465253cca348bb6d:0xff9ebb5f16eb4a8e,,
Ard Bakery,,https://www.google.com/maps/place/Ard+Bakery/data=!4m2!3m1!1s0x465253c30d306aa7:0x96cdb8507c16e76c,,
Flere Fugle,,https://www.google.com/maps/place/Flere+Fugle/data=!4m2!3m1!1s0x465253d689f1f72f:0xed86676cfdfeb8ff,,
Rondo,,https://www.google.com/maps/place/Rondo/data=!4m2!3m1!1s0x4652537ae0a512b3:0x72b66bc2215f7ca4,,
Riviera,,https://www.google.com/maps/place/Riviera/data=!4m2!3m1!1s0x4652536bbaa4ac13:0x34e841e7c3cc40fb,,
Maison d'Angleterre,,https://www.google.com/maps/place/Maison+d'Angleterre/data=!4m2!3m1!1s0x46525300f88a9071:0x4b7db35f3b5ec14b,,
Det Franske Konditori,,https://www.google.com/maps/place/Det+Franske+Konditori/data=!4m2!3m1!1s0x465253a6f108ad7d:0xa951017679515b2f,,
Københavns Bageri,,https://www.google.com/maps/place/K%C3%B8benhavns+Bageri/data=!4m2!3m1!1s0x4652532c32841b61:0x289933757748ada0,,
Cakenhagen Vesterbrogade,,https://www.google.com/maps/place/Cakenhagen+Vesterbrogade/data=!4m2!3m1!1s0x4652536a1363f95b:0x6e5ec14d6e846534,,
La Cabra,,https://www.google.com/maps/place/La+Cabra/data=!4m2!3m1!1s0x46525314a7b7ede7:0x3a4a1e0f4b65854f,,
Collective Bakery,,https://www.google.com/maps/place/Collective+Bakery/data=!4m2!3m1!1s0x4652537daeda7453:0x4b4a8ef15339e121,,
Lille Fugl,,https://www.google.com/maps/place/Lille+Fugl/data=!4m2!3m1!1s0x465253007cc1c445:0x553596ebef4bd015,,
Original Coffee Illum Rooftop,,https://www.google.com/maps/place/Original+Coffee+Illum+Rooftop/data=!4m2!3m1!1s0x4652531738efffff:0xa5889022ec6d94c4,,
Hanzo Frederiksberg,,https://www.google.com/maps/place/Hanzo+Frederiksberg/data=!4m2!3m1!1s0x465253ce336d5ced:0xc02190792c521c72,,
Hongs Special Dim Sum Bar 品粤居 点心 哥本哈根,,https://www.google.com/maps/place/Hongs+Special+Dim+Sum+Bar+%E5%93%81%E7%B2%A4%E5%B1%85+%E7%82%B9%E5%BF%83+%E5%93%A5%E6%9C%AC%E5%93%88%E6%A0%B9/data=!4m2!3m1!1s0x46525339d2548d7d:0x2b0c637fb48e6b8c,,
Fanico,,https://www.google.com/maps/place/Fanico/data=!4m2!3m1!1s0x46525370e404f063:0xe09aa36807cc9dac,,
Le Week-End,,https://www.google.com/maps/place/Le+Week-End/data=!4m2!3m1!1s0x465253d8a6be48a9:0x895782b23fdd25aa,,
Ø12 Coffee & Eatery,,https://www.google.com/maps/place/%C3%9812+Coffee+%26+Eatery/data=!4m2!3m1!1s0x465253005dff5071:0x9814f111daa59fe8,,
The Hill House Museum,,https://www.google.com/maps/place/The+Hill+House+Museum/data=!4m2!3m1!1s0x4652539a07e89d73:0x286b51e42c2bdf52,,
Hart,,https://www.google.com/maps/place/Hart/data=!4m2!3m1!1s0x465253d2e166eb75:0x2b7f981ec3b8ffc,,
Kissa,,https://www.google.com/maps/place/Kissa/data=!4m2!3m1!1s0x465253004f3d53af:0x5ec837862098a9f6,,
Pulp bar,,https://www.google.com/maps/place/Pulp+bar/data=!4m2!3m1!1s0x465253ab515d5365:0xc291f1e6c2701412,,
Pinden Bar,,https://www.google.com/maps/place/Pinden+Bar/data=!4m2!3m1!1s0x4652530ce5e2190f:0x97f491638c65edc4,,
Barabba,,https://www.google.com/maps/place/Barabba/data=!4m2!3m1!1s0x465253185b416dd9:0x27c5b281a568f474,,
NENI Copenhagen,,https://www.google.com/maps/place/NENI+Copenhagen/data=!4m2!3m1!1s0x46525308a55bdd09:0xb6ed5ef86613d3cd,,
Sonny,,https://www.google.com/maps/place/Sonny/data=!4m2!3m1!1s0x4652532b33d70543:0x5c915e699a2e5377,,
Impact Roasters,,https://www.google.com/maps/place/Impact+Roasters/data=!4m2!3m1!1s0x4652534d1f3618c7:0xef5fd492abb95000,,
HIAN - Vietnamese Eatery and Drinks,,https://www.google.com/maps/place/HIAN+-+Vietnamese+Eatery+and+Drinks/data=!4m2!3m1!1s0x46525334e6364507:0xbaa7db9ebb76e59e,,
cleo,,https://www.google.com/maps/place/cleo/data=!4m2!3m1!1s0x4652537f0dbd37ef:0xdddb9dd6c67367bd,,
Wafu Ramen,,https://www.google.com/maps/place/Wafu+Ramen/data=!4m2!3m1!1s0x465253a48aeacb19:0x3b065e67267cac7e,,
Kappo Ando,,https://www.google.com/maps/place/Kappo+Ando/data=!4m2!3m1!1s0x465253926f350b8f:0xa7c03bf2943906d3,,
Gamma Bar NV,,https://www.google.com/maps/place/Gamma+Bar+NV/data=!4m2!3m1!1s0x465253170c834455:0x6fc5cf281605b677,,
Judie,,https://www.google.com/maps/place/Judie/data=!4m2!3m1!1s0x465253bf46c2d5bd:0x387f06f8005cd884,,
Alice Ice Cream & Coffee,,https://www.google.com/maps/place/Alice+Ice+Cream+%26+Coffee/data=!4m2!3m1!1s0x4652533874b25553:0x24522c2aa3dffe0d,,
ROAST Coffee,,https://www.google.com/maps/place/ROAST+Coffee/data=!4m2!3m1!1s0x4652536aee25278d:0xcb7b34ee823a5849,,
THE SPOT,,https://www.google.com/maps/place/THE+SPOT/data=!4m2!3m1!1s0x465255bc1477c0c3:0xe8b41b9247ef9fb4,,
BRYGGENS SPISEHUS,,https://www.google.com/maps/place/BRYGGENS+SPISEHUS/data=!4m2!3m1!1s0x4652536ba59fbbfb:0xe635cb8faa3744b3,,
Alouette,,https://www.google.com/maps/place/Alouette/data=!4m2!3m1!1s0x46525347f7eb7a71:0xe9ea3632823a9a34,,
The Taj Take Away Øresundsvej,,https://www.google.com/maps/place/The+Taj+Take+Away+%C3%98resundsvej/data=!4m2!3m1!1s0x4652514500e7cfef:0xf9adc40dc45a69,,
Dilemma Vinbar,,https://www.google.com/maps/place/Dilemma+Vinbar/data=!4m2!3m1!1s0x4652537a51328677:0x8bf70cff6aaf339f,,
Ismageriet,,https://www.google.com/maps/place/Ismageriet/data=!4m2!3m1!1s0x465253bff8d7cdb5:0x22a64338cf4e1b96,,
